Place,Details,Class,WordCount,Similar_Words
Pura Lempuyang Luhur,sky gate pura lempuyang temple important temple bali door face volcano sea catch cloudy weather opposite scene like fairy tale stepping enter another world,None Related,49,"another, opposite, weather, volcano, temple, tale, stepping, sky, sea, scene"
Nusa Dua,luxury resort known tranquil beach turquoise water perfect place enjoy sunrise cluster fivestar hotel adjacent private beach providing secluded holiday environment large shopping mall dutyfree shop nearby nusa duas calm beach ideal diving swimming water activity,None Related,63,"activity, mall, turquoise, tranquil, swimming, sunrise, shopping, shop, secluded, resort"
Ceking Rice Terrace,feature countless postcard photographic work including novel eat pray love jay chou music video taoxiang tourist get closeup look tropical landscape terrace roll mountain flowing mountain stream irrigate rice field patty dotted countless coconut tree surrounded beautiful green hill,None Related,62,"beautiful, mountain, novel, patty, photographic, postcard, pray, rice, roll, stream"
Komodo Island,komodo island larger island komodo national park reach komodo island take flight bali boat komodo national park main destination coming komodo island generally komodo dragon footage komodo dragon animal world shot komodo dragon lizard reptile course diving snorkeling deep diving,None Related,75,"animal, komodo, take, snorkeling, shot, reptile, reach, park, national, main"
Taman Safari Bali,exciting journey wilderness immersed diversified animal world including endangered specie amazing taman home thousand amazing animal finest destination adventurous fun educational experience park represents specie including rare endangered specie like komodo dragon starling bird discover magic animal kingdom veil darkness bali experience unique nightlife adventure specially designed cage tram allowing observe animal close proximity even feed hand time taman front line wildlife conservation indonesia actively involved ensuring future survival wellbeing animal specie,None Related,142,"actively, adventure, indonesia, involved, journey, kingdom, komodo, like, line, magic"
Waterbom Bali,fun adventure experience south side kuta beachfantasy excitement premier water parkthe choice family friend travel vacation waterbom bali variety water slide swimming pool playground giant water slide rush speed kilometer per hour thrilling lazy river tropical plant planted along bank allows leisurely enjoy comfort surrounded greenery △ natural relaxing water leisure activity enjoy happy time △ extremely popular waterslide make scream surrounded greenery relax body mind relax feel extremely comfortable,None Related,113,"activity, side, per, plant, planted, playground, pool, popular, premier, relax"
Ayung River Rafting,• take exciting rafting challenge bali enjoy leisurely relaxing admire dense rainforest waterfall canyon along way immerse embrace nature• provide considerate convenient service complete interesting exciting adventure experience △ whitewater rafting experience ayung river dissipate heat keep good mood fun embark rafting trip island ’s longest river face rapid another △ use team spirit working together successfully conquer rapid challenge,None Related,101,"admire, island, leisurely, longest, mood, nature, provide, rafting, rainforest, rapid"
Devil's Tears,devil tear small cliffside location sea water formed rock open semicircle cave bottom cliff attest ocean relentless power wearing away rock high tide wave reaching cave create great jet spouting ten meter height lucky rainbow resulting mist contrast relative calm low tide frenetic energy high tide big attraction invariably stunned power nature,None Related,95,"attest, rock, nature, ocean, open, power, rainbow, reaching, relative, relentless"
Penida Island,penida island outlying island east bali adjacent ocean water crystal clear coral reef marine life colorful together draw beautiful picture addition enjoying view boat visitor engage diving water sport,None Related,56,"addition, island, visitor, view, together, sport, reef, picture, penida, outlying"
Ubud Palace,ubud palace ubud “ artistic town bali ” building majestic adorned intricate stone carving gold decoration make whole palace look magnificent stately ubud palace experience traditional art culture bali evening dance performance courtyard addition ubud market easily reachable visiting palace buy variety buddha statue silverware special costume,None Related,80,"addition, special, majestic, make, market, palace, performance, reachable, silverware, stately"
Uluwatu Temple,uluwatu temple location along uluwatu cliff great location view surrounding landscape seaside known lover cliff uluwatu cliff set beside wellknown surf spot small forested area front temple home hundred wild monkey watch traditional kecak dance performance ambiance uluwatu temple surrounding cliff performance provides magical almost otherworldly experience,None Related,81,"almost, along, otherworldly, performance, provides, seaside, set, small, spot, surf"
Kuta Beach,kuta beach great place sunbathing enjoying surf beach set crescentshaped bay kuta end offer welcoming water paddler beginner stronger surf make middle section paradise professional waveriders enjoying wave find variety traditional handicraft shop along beach addition starrated hotel bar club nightlife,None Related,73,"addition, along, paradise, place, professional, section, set, shop, starrated, stronger"
Nusa Lembongan,lembongan island southeast bali island get name deep blue water surround away hustle bustle bali lembongan island offer quiet beautiful bay peaceful countryside enjoy day beach lounge beach chair visit cafe restaurant bar enjoy fine food drink completely relaxing destination,None Related,75,"away, offer, get, hustle, island, lembongan, lounge, name, peaceful, bali"
Jimbaran Beach,jimbaran beach famous spectacular sunset endless ocean seems swallow sun whole horizon glow twilight ’s ember transience day ’s journey magical addition famous seascape openair seafood stall major attraction enjoy candlelit seafood dinner admiring sunset walk along beachfront paradise,None Related,64,"addition, spectacular, ocean, openair, paradise, seafood, seascape, seems, stall, admiring"
Bali Swing,• get rid fear height experience bali famous swing stunning jungle backdrop• enjoy fun activity take amazing photo perfect vantage point• try various swing enjoy stunning view take beauty bali △ jumping famous swing sure get adrenaline pumping enjoy beautiful scenery swing loved △ take beautiful photo big swing bali,None Related,84,"activity, adrenaline, various, vantage, try, take, swing, sure, stunning, scenery"
Ubud,ubud cultural creative center bali worldfamous art village powerful creative spirit village awash artistic form painting sculpting music textile architecture craft shop museum line street artist world come find inspiration location featured film eat pray love addition visiting variety artisan shop visit magnificent ubud palace enjoy traditional dance performance local specialty,None Related,91,"addition, specialty, museum, music, painting, palace, performance, powerful, pray, sculpting"
Taman Safari Bali,exciting journey wilderness immersed diversified animal world including endangered specie amazing taman home thousand amazing animal finest destination adventurous fun educational experience park represents specie including rare endangered specie like komodo dragon starling bird discover magic animal kingdom veil darkness bali experience unique nightlife adventure specially designed cage tram allowing observe animal close proximity even feed hand time taman front line wildlife conservation indonesia actively involved ensuring future survival wellbeing animal specie,None Related,142,"actively, adventure, indonesia, involved, journey, kingdom, komodo, like, line, magic"
Waterbom Bali,fun adventure experience south side kuta beachfantasy excitement premier water parkthe choice family friend travel vacation waterbom bali variety water slide swimming pool playground giant water slide rush speed kilometer per hour thrilling lazy river tropical plant planted along bank allows leisurely enjoy comfort surrounded greenery △ natural relaxing water leisure activity enjoy happy time △ extremely popular waterslide make scream surrounded greenery relax body mind relax feel extremely comfortable,None Related,113,"activity, side, per, plant, planted, playground, pool, popular, premier, relax"
Ayung River Rafting,• take exciting rafting challenge bali enjoy leisurely relaxing admire dense rainforest waterfall canyon along way immerse embrace nature• provide considerate convenient service complete interesting exciting adventure experience △ whitewater rafting experience ayung river dissipate heat keep good mood fun embark rafting trip island ’s longest river face rapid another △ use team spirit working together successfully conquer rapid challenge,None Related,101,"admire, island, leisurely, longest, mood, nature, provide, rafting, rainforest, rapid"
Devil's Tears,devil tear small cliffside location sea water formed rock open semicircle cave bottom cliff attest ocean relentless power wearing away rock high tide wave reaching cave create great jet spouting ten meter height lucky rainbow resulting mist contrast relative calm low tide frenetic energy high tide big attraction invariably stunned power nature,None Related,95,"attest, rock, nature, ocean, open, power, rainbow, reaching, relative, relentless"
Penida Island,penida island outlying island east bali adjacent ocean water crystal clear coral reef marine life colorful together draw beautiful picture addition enjoying view boat visitor engage diving water sport,None Related,56,"addition, island, visitor, view, together, sport, reef, picture, penida, outlying"
Uluwatu Temple,uluwatu temple location along uluwatu cliff great location view surrounding landscape seaside known lover cliff uluwatu cliff set beside wellknown surf spot small forested area front temple home hundred wild monkey watch traditional kecak dance performance ambiance uluwatu temple surrounding cliff performance provides magical almost otherworldly experience,None Related,81,"almost, along, otherworldly, performance, provides, seaside, set, small, spot, surf"
Kuta Beach,kuta beach great place sunbathing enjoying surf beach set crescentshaped bay kuta end offer welcoming water paddler beginner stronger surf make middle section paradise professional waveriders enjoying wave find variety traditional handicraft shop along beach addition starrated hotel bar club nightlife,None Related,73,"addition, along, paradise, place, professional, section, set, shop, starrated, stronger"
Nusa Lembongan,lembongan island southeast bali island get name deep blue water surround away hustle bustle bali lembongan island offer quiet beautiful bay peaceful countryside enjoy day beach lounge beach chair visit cafe restaurant bar enjoy fine food drink completely relaxing destination,None Related,75,"away, offer, get, hustle, island, lembongan, lounge, name, peaceful, bali"
Jimbaran Beach,jimbaran beach famous spectacular sunset endless ocean seems swallow sun whole horizon glow twilight ’s ember transience day ’s journey magical addition famous seascape openair seafood stall major attraction enjoy candlelit seafood dinner admiring sunset walk along beachfront paradise,None Related,64,"addition, spectacular, ocean, openair, paradise, seafood, seascape, seems, stall, admiring"
TANAH LOT TEMPLE,tanah lot bali ’s important landmark unique offshore setting provides perfect backdrop sunset photo constructed th century honor hindu sea mostvisited landmark best time admire tanah lot temple sunset high tide narrow connecting strip land submerged temple cut land watch sun spread across ocean marvel romantic look tanah lot temple glowing golden outline,None Related,93,"across, strip, outline, perfect, photo, provides, romantic, sea, setting, spread"
Ueno Toshogu Shrine,ueno toshogu prominent shinto shrine tokyo ’s taito ward established later renovated shrine remained mostly intact since making great example shinto architecture edo period shrine utilizes ornate gold decorative wood carving characterizing traditional design major gate pillar hall quite eyecatching provide excellent backdrop photograph shrine complex within ueno park great combine visit nearby akihabara asakusa,None Related,91,"akihabara, architecture, park, period, photograph, pillar, prominent, provide, quite, remained"
Shinobazu Pond,shinobu pond ueno park center pond bentian dedicated goddess eloquence bird duck pelican large lotus flower growing pond entire pond surface covered lotus flower case rain heavy green drizzle water droplet lotus leaf add dynamic vitality spring cherry blossom full bloom although lake big enjoy pleasure boating water concert hall often hold various performance concert origin name engraved stone tablet shinobu pond past place ueno hongo terrace called ninja hill building distance shinobi pond said earlier highrise building complex tokyo product left japan economy took together shinobi pond charming picture,None Related,179,"add, pleasure, picture, performance, pelican, past, park, origin, often, ninja"
Kagoshima City Aquarium,kagoshima huge current called brings whale shark fish downstream coral reef well developed around southwest island archipelago stretching yakushima tanegashima yoron island kagoshima aquarium displayed theme kuroshio sea southwest island sea nd floor kagoshima sea centered th floor,None Related,64,"aquarium, archipelago, yakushima, whale, well, theme, th, tanegashima, stretching, southwest"
Senjojiki Rock Plateau,senjojiki rock plate formed sandstone neogene since sandstone rock solidified sand soft texture eroded wave year finally formed complex unique landscape stack thousand joeski pronounced fu mean spread senjojiki mean spread tatami mat ground rock plate hectare size enough hold tatami mat hence name sandanbi engetsu island wellknown sightseeing spot shirahama town coincidentally coast melaleuca belongs west coast naturally good choice watching sunset standing flat rock plate watching fiery red sun slowly sink vast pacific ocean place interest since ancient time,None Related,153,"ancient, spread, rock, sand, sandanbi, sandstone, senjojiki, shirahama, sightseeing, since"
The Flying Snoopy,flyingsnoopy corner universal studio osaka next cute park snoopy theme decoration merrygoround suitable child play,None Related,39,"child, corner, cute, decoration, flyingsnoopy, merrygoround, next, osaka, park, play"
Ujikami Shrine,ujigami shrine north side uji shrine ancient shrine japan according research founded heian period main hall shrine listed national treasure japan spring ujigami shrine called kirihara water seven famous water uji ancient time existing ancient famous spring worship period shrine important cultural relic japan,None Related,94,"according, north, water, ujigami, uji, treasure, time, spring, side, shrine"
Maruyama Park,yuanshan park earlier park east side shrine cover area square meter circle swimming pool spring courtyard central area surrounded snack bar tea house wellknown cherry blossom viewing area kyoto beautiful scenery year round weeping cherry tree old precious variety cherry blossom night cherry blossom diyuan program flower viewing park designated scenic spot reason field music hall special concert,None Related,120,"area, bar, program, reason, round, scenery, scenic, shrine, side, snack"
Takachiho Gorge,magnificent natural scenery ancient shrine seen takachiho full mythical worldlike mystery popular spot takachiho gorge vshaped canyon formed erosion aso lava gouse river cliff even meter high rent boat go river observe beautiful manai fall close spring early summer mountain cherry blossom rhododendron wisteria bloom cliff autumn gorgeous red leaf transforms world ice different view,None Related,110,"ancient, aso, meter, mountain, mystery, mythical, natural, observe, popular, red"
Asari,otaru city hokkaido face sea beautiful scenery hurry get station walk beach blow wind feel comfortable bathing beach chaoli open every summer local come walk play water bask sun enjoy leisurely quiet life climb mount chaoli watch red leaf mountain,None Related,92,"bask, life, mount, mountain, open, otaru, play, quiet, red, scenery"
Oshino Hakkai,oshino hakkai oshino village yamanaka lake kawaguchi lake yamanashi prefecture group spring originated melting snow mount fuji dotted eight small pond clear spring namely yufu pond bottomless pond choshi pond zhuo pond yong pond mirror pond acorus pond exit pond listed world constituent asset mount fuji cultural heritage tourist generally visit mount fuji come oshino village return journey fame mount fuji tourist come visit oshino hakkai spring pool almost meter deep crystal clear kind fish swimming pool reflecting surrounding flower tree scenery natural exquisite beautiful great place watch photograph mount fuji average water temperature spring water oshino hakkai ° c water clear sweet drinkable generally free selfservice drinking point next pool taste buy bottled one souvenir shop attached take away famous specialty tofu water eaten raw dipping sauce must try comfortable stroll around simple simple village old house strong style small shop selling natural food want dine recommend udon noodle soba noodle taste good reasonably priced addition grass cake seen everywhere coffee water special,None Related,304,"acorus, reasonably, snow, small, simple, shop, selling, selfservice, seen, scenery"
Okinawa Churaumi Aquarium,recreate deep sea world rare deep sea creature meter deep sea closelearn shark habit ocean observation room intense emotional adventureobserve coral colorful tropical fish lobster rich sea creature close listen call sea △ whale shark sculpture huge whale shark statue waiting entrance okinawa churaumi aquarium stand front whale shark monument take beautiful commemorative photo word aquarium back backgroundafter passing whale shark sculpture uminchu gate awaits uminchu mean fisherman okinawan dialect uminchu gate enjoy emeraldgreen ocean okinawa endless beauty ie island take escalator fisherman gate floor entrance churaumi aquarium right entering entrance row touch pool personally touch cucumber marine life living coral reef safe need touch lightly please take water special wash basin hand dryer next touch pool going forward huge water tank called coral sea coral reef community composed specie coral sea ​​tropical fish various tropical fish thrive seawater simulates natural environment △ huge water tank kuroshio sea run two floor cubic meter sea water three whale shark meter long swim around head shocking floor aquarium area deepsea adventure area happy ocean research laboratory souvenir shop want buy souvenir aquarium ’s tshirts whale shark manta ray plush toy mobile phone lanyard etc good choice outside aquarium several venue near sea including manatee pavilion turtle pavilion dolphin lake dolphin theater visited together △ aqua room allows observe whale shark manta ray various angle cafeocean blue next large tank enjoy pasta pita bread rice tortilla cake sweet potato ice cream delicacy watching fish kuroshio sea cafe accept reservation need queue get number addition churaumi theater floor screen multiple highdefinition documentary okinawa ocean every day,None Related,463,"accept, rare, phone, photo, pita, please, plush, pool, potato, queue"
Ocean Expo Park,ocean expo park national park established former site expo commemorate okinawa international ocean expo held theme park sunshine flower ocean various facility okinawa churaumi aquarium dolphin show marine culture center park popular among three area park historical cultural area includes oceanographic museum display household item fishing gear demonstrate connection fisherman south asia pacific region okinawa rural village reproduces old architectural island siluo botanical garden enjoy specie plant appear collection ancient song omorosaushi area world largest okinawa churaumi aquarium house large shark ray well dolphin theater manatee house turtle house dolphin lagoon emerald beach flower plant area full flower green lush tropical dream center worldclass greenhouse tropical subtropical urban green botanical garden tourist explore variety plant,None Related,204,"among, old, reproduces, region, ray, popular, plant, park, pacific, omorosaushi"
Kamakurakōkō-Mae Station,high school mae station station enoshima tram platform face sea beautiful dusk since section railway crossing outside station scene slam dunk popular among tourist huge number gather wanting shoot classic scene cartoon ordinary small station become pilgrimage place heart countless fan,None Related,85,"among, outside, place, platform, popular, railway, scene, school, sea, section"
Sannenzaka & Ninenzaka,near kiyomizudera kyoto make two historically protected block ninenzaka two small stonepaved slope lined step sannenzaka small path linking house mostly machiyastyle wooden house edo period vendor selling kiyomizu ware ancient kyoto porcelain product quaint restaurant souvenir shop found,None Related,77,"ancient, slope, protected, quaint, restaurant, sannenzaka, selling, shop, small, porcelain"
Shibuya City,shibuya tokyo ’s central ward major commercial business center known fashion popular nightlife scene area historically site castle shibuya family resided th edo period shibuya achieved great popularity among young since early s several famous fashion department store shibuya crossing famous intersection peak time thousand cross tangle street pattern known shibuya scramble,None Related,93,"achieved, since, period, popular, popularity, resided, scene, scramble, several, shibuya"
LEGOLAND Discovery Center Osaka,legoland discovery center osaka mount tenpo indoor amusement park ideal child park make use lego brick recreate wellknown attraction street scene around osaka tsutenkaku dotonbori stadium tired visitor watch d movie grab food park restaurant,None Related,56,"amusement, movie, watch, visitor, use, tsutenkaku, tired, tenpo, street, stadium"
Shinsekai,shinsekai osaka famous old neighborhood encompasses tsutenkaku tower historical shop iconic scene found especially known image puffer fish lantern set tower area appeared film television program grassroots sentiment district changed much good place discover past prosperity osaka communal atmosphere city fully reflected,None Related,84,"appeared, area, much, neighborhood, old, osaka, past, place, program, prosperity"
Tsutenkaku,shinsekai district osaka patterned eiffel tower tsutenkaku become iconic landmark building osaka tower lit colorful light attractive sight southern city japan visitor observation deck enjoy beautiful view street taking bustling city different perspective,None Related,65,"attractive, beautiful, view, tsutenkaku, tower, taking, street, southern, sight, shinsekai"
Otaru Canal,otaru canal major landmark otaru even hokkaido row masonry warehouse along coast transformed specialty shop glass handicraft store side kerosene street lamp retro look particularly beautiful canal opened used load unload good witnessing prosperity northern wall street area half current otaru canal filled road use walking along otaru canal day pleasant thing side river long pedestrian path lamp standing interval road nostalgic artist often seen painting side river row warehouse brick stone exterior wall somewhat exotic background blue sky white cloud reflection water delicious take picture brick warehouse food small shop grocery store restaurant converted warehouse best choice buy otaru souvenir eat local delicacy restaurant mainly serf beer seafood among otaru canal canteen popular interior decorated style otaru street showa period japan retro genghis barbecue crab conveyor belt sushi delicacy need wait table peak dining period popular photography spot asakusa bridge southern end canal good location taking classic picture otaru canal looking bridge section extending central bridge distance unmissable view otaru canal visitor center asakusabashi pick map brochure tourist information rest seat outside experience rickshaw next bridge rickshaw driver traditional costume interested get nostalgic rickshaw experience retro otaru scenery fare ride along canal generally yenperson yen person driver warmly introduce scenery cruise sightseeing take cruise visit otaru canal central bridge ticket office boating point river cruise take minute price yen day yen child yen child yuan check specific schedule httpotarucczhtimetable charming night lamp lit old warehouse canal reflection water interweave romantic beautiful scenery intoxicating snowing quiet particularly beautiful charming addition taisho glass museum otaru city general museum canal museum attraction near otaru canal visited together,None Related,540,"addition, price, quiet, reflection, rest, restaurant, retro, rickshaw, ride, river"
Tokyo National Museum,inside ueno park tokyo national museum oldest national museum largest art museum japan largest art museum world tokyo national museum hold object including comprehensive collection art work archaeological object asia particular focus japan restaurant shop within museum premise well outdoor exhibition garden visitor enjoy seasonal view,None Related,78,"archaeological, oldest, work, within, well, visitor, view, ueno, tokyo, shop"
Lake Kawaguchi,lake kawaguchi rich nature scenery varies throughout cherry blossom red leaf autumn snowy scenery winter regardless season scenery mt famous shooting spot mount fuji sanyazaki reflection mount fuji photographed cherry blossom full bloom lake kawaguchi mount fuji photographed cherry blossom foreground chanyazaki small cape protrudes toward lake kawaguchi protruding part stand small shrine dedicated worship fuji deity kinohanakai yahime maple tree lakeside leaf make unique attraction headed red leaf corridor lakeside decorated red yellow make kawaguchiko even charming lake water red leaf form beautiful scenery mountain lakeside charming red maple closely connected making dizzying take kawaguchiko cruise boat ensoleile meaning sun circle lake minute weather clear mount fuji reflected lake surface boat famous reverse fuji landscape take ride elegant cruise ship overlook stunning scenery,None Related,229,"attraction, shooting, season, scenery, sanyazaki, ride, rich, reverse, regardless, reflection"
Arima Onsen,hot spring kansai region arima town kita ward kobe city hyogo prefecture arima onsen japan three largest hot spring yearold hot spring area said buddhist monk th surrounded mountain three side enjoy cherry blossom spring maple tree autumn addition famous hot spring place quite popular tourist water quality arima onsen rich mineral divided golden silver radium spring carbonated spring according different spring quality addition spring quality arima onsen slightly salty rumored ancient samurai injured soaking area would make wound easier heal bathing warm heat often mirror dense cloud mist mountain outside today hot spring area concentration elegant hot hotel quiet style another charming style kobe,None Related,183,"according, quiet, salty, said, rumored, rich, region, radium, quite, quality"
The Wizarding World Of Harry Potter,• magic everywhere• discover sight wizarding world• reproduce world story bringing life phenomenal scale universal studio japan wizarding world theme park based story character well selling series visitor must walk past gigantic rock follow path lined tree three storey high great door magical world spring sight besides housing attraction game related movie park feature site found book including restaurant shop help make visitor feel truly walked world magic △ inside hogwarts castle you ll explore classroom corridor hogwarts school witchcraft wizardry including dumbledores office defence dark art classroom ﻿ △ hogsmeade village wizard reside array shop frequented student hogwarts school witchcraft wizardry ﻿ △ magical adventure flying hogwarts ™ ground,None Related,188,"adventure, spring, sight, shop, series, selling, school, scale, rock, restaurant"
Osaka Castle Main Tower (Osaka Castle Museum),main tower osaka castle key landmark building osaka known hideyoshi castle castle interior transformed museum provides information toyotomi castle history floor offer great view osaka castle elevated platform feature white wall green tile end flying eave adorned magnificent tiger shachi formed gold foil every spring autumn ancient charm castle ever prominent cherry blossom red maple leaf,None Related,111,"adorned, key, landmark, leaf, magnificent, main, maple, museum, offer, osaka"
Umeda Sky Building,• unfind sky • building connected observatory take osaka cityscape bird’seye view degree open air rooftop umeda sky building umeda district north osaka rather uniquely designed building consists two tower connected rooftop observatory deck visitor view dazzling street building become landmark osaka visitor coming escape hustle bustle city △ space filled excitement way sky ﻿ △ degree open air rooftop observation floor changing view time △ stand meterhigh sky garden observation deck enjoy dynamic night view osaka city,None Related,134,"air, meterhigh, north, observation, observatory, open, osaka, rather, rooftop, seye"
Roppongi Hills,prominent property development tokyo ’s minato ward centered story mori tower roppongi hill envisioned integrated development project resident could live work recreate shop close proximity megacomplex incorporates office space apartment shop restaurant cafe movie theater museum hotel major tv studio outdoor amphitheater park vision urban living roppongi hill still attracts lot attention great place get sense innovation drive characteristic much tokyo,None Related,100,"amphitheater, sense, outdoor, park, place, project, prominent, property, proximity, recreate"
Fuji-Q Highland,• check thrilling recordbreaking roller coaster • check labyrinth fear animethemed ride kidfriendly ride enjoy roller coaster iconic mount fuji background fujiq highland japan popular amusement park fuji five lake region foot mount fuji best known thrilling recordbreaking roller coaster elaborate anime themed ride attraction park strives forefront theme park entertainment constantly opening new ride attraction including guinness world record breaking roller coaster △ enjoy view mt fuji fall roller coaster large ferris wheel height m △ enjoy feeling floating foot away earth refreshing feeling turning wind fantastic scenery swaying group,None Related,153,"amusement, including, kidfriendly, known, labyrinth, lake, large, mount, mt, new"
Shiroi Koibito Park,famous white chocolate dessert hokkaido shiroi bought souvenir almost every visitor hokkaido shiroi refers tourist attraction based solely famous snack visitor tour factory entire process chocolate dessert made try making,None Related,62,"almost, attraction, visitor, try, tourist, tour, souvenir, solely, snack, shiroi"
Nagoya Castle,known kinjo nagoya castle landmark nagoya join castle three famous castle japan addition large variety historical relic castle feature large number model scene game entertain visitor,None Related,51,"addition, landmark, variety, three, scene, relic, number, nagoya, model, large"
Shinjuku City,shinjuku tokyo ’s special ward major commercial administrative center home tokyo metropolitan government building following world war shinjuku developed tokyo ’s important neighborhood countless restaurant cafe populate street shinjuku station world ’s busiest railway station dazzling billboard fascinating shop trendsetting fashion make shinjuku mustvisit location certainly problem spending wonderful part tokyo,None Related,83,"administrative, billboard, neighborhood, part, populate, problem, railway, restaurant, shinjuku, shop"
Osaka Castle,center osaka osaka castle major landmark osaka listed three famous castle japan history together nagoya castle kumamoto castle divided inner middle outer castle ie honmaru ninomaru sannomaru magnificent city gate steep wall wide moat inside outside spectacular pavilion overlook streetscape around osaka castle park cherry blossom bloom respective season famous place enjoy plum cherry blossom osaka,None Related,105,"around, bloom, nagoya, ninomaru, osaka, outer, outside, overlook, park, pavilion"
Kinkaku-ji,ancient temple kyoto completed originally served villa shogun ashikaga yoshimitsu later transformed zen temple originally named rokuonji literally deer garden temple known temple golden pavilion owing gold foil outside building wrapped addition famous tourist attraction kinkakuji designated national treasure government symbol kyoto,None Related,89,"addition, named, originally, outside, owing, pavilion, rokuonji, served, shogun, symbol"
Nijō Castle,acting residence tokugawa shogun serf symbol power tokugawa shogunate castle surrounded high wall moat inside room connected corridor installed famous nightingale floor floor designed make chirping sound walked upon prevent intruding assassin castle open evening cherry blossom season attracting flock visitor view magnificent cherry blossom tree,None Related,91,"acting, nightingale, power, prevent, residence, room, season, serf, shogun, shogunate"
Arashiyama Sagano Romantic Train,sagano romantic train sightseeing train line arashiyama run along hozukyo gorge passenger enjoy spectacular natural scenery make way surrounding forest little train take blooming cherry tree refreshing babbling brook fluttering red leaf autumn captivating silverywhite valley,None Related,69,"along, sightseeing, red, refreshing, romantic, run, sagano, scenery, silverywhite, arashiyama"
Daiba,odaiba large artificial island tokyo bay connected central tokyo via rainbow bridge become increasingly popular entertainment leisure area odaiba something precious commodity public access waterfront location industry harbor facility block accessing sea restaurant shopping entertainment option abound making odaiba popular tourist destination sure look replica state liberty rainbow bridge set behind it ’s great backdrop photo,None Related,90,"abound, access, location, look, making, odaiba, option, photo, popular, precious"
Shinjuku Gyoen National Garden,large park garden tokyo ’s shinjuku neighborhood edo period land privately held family following world war garden opened public designated national park tree including cherry tree attract large number visitor bloom late march late april popular frenchstyle garden set within park respite hustle bustle city oasis tranquility well worth visit,None Related,108,"april, shinjuku, opened, park, period, popular, privately, public, respite, set"
Imperial Palace,imperial palace primary residence emperor japan large parklike area tokyo ’s central chiyoda ward set site former edo castle modern imperial palace series building garden designed facilitate function imperial family visitation main palace ground regulated arrangement must made well advance however east garden generally accessible rank among beautiful garden japan taking time wander admire delicate floral arrangement well worth,None Related,102,"accessible, imperial, large, made, main, modern, must, palace, parklike, primary"
Nara Park,nara park east side nara city foot mount kasuga park beautiful picturesque scenery year round hundred wild sika deer live open meadow around park todaiji temple taisha shrine close lovely sika deer park scenery pleasant twig sprouting spring maple leaf autumn suitable leisurely stroll season easy deer nara nara park place deer herd concentrated call sika deer park park flock sika deer seen everywhere great pleasure tourist come close contact deer either silently foraging grass play come bend head rub lovable quite stall selling deer cake buy feed deer clever little deer follow soon smell deer cake hand visiting quaint temple shrine addition lovely herd deer temple shrine around park attractive place tourist babbling water pond creek add color park large roof tower temple seen looming wood north todaiji temple majestic great buddha hall largest wooden ancient building world hall huge bronze buddha statue overlook scenery nara walk ergakudo foot kasuga mountain southeast kasuga taisha shrine surrounded lush beautiful vegetation look ancient natural thousand lantern lit side stone road leading main hall wan lantern festival every year creating wonderful sacred scene unforgettable addition attraction nara national museum yisui garden kofukuji temple nearby,None Related,374,"add, sika, shrine, selling, seen, season, scenery, scene, sacred, rub"
Gion,situated scenic area higashiyama gion traditional entertainment district kyoto nowadays wellknown attraction place tourist wishing spot geisha day traditional restaurant teahouse area serve place relaxation visitor may often encounter geisha passing however place really come life expect meet could head gion corner watch traditional art performance,None Related,94,"area, serve, passing, performance, place, really, relaxation, restaurant, scenic, situated"
Sanrio Puroland(Tokyo),• meet take picture favorite sanrio character • get load original product found puroland • fill heart stomach food sanrio puroland known hello indoor amusement park based sanrio cartoon star hello jewelpet everywhere found fantasylike inviting full creativity popular attraction child adult theme park give visitor chance meet favorite star set indoors enjoy parade performance without needing worry weather temperature outside △ meet take picture favorite sanrio character △ enjoy musical show ﻿ △ take mymeroad drive visit melody house,None Related,141,"adult, amusement, melody, musical, mymeroad, needing, original, outside, parade, park"
Ghibli Museum,western portion tokyo ghibli museum dedicated showcasing work animation house studio ghibli designed studio ghibli director hayao miyazaki museum heavily influenced architectural style miyazaki used film storyboards sketch plan inspired location hilltop village calcata italy full everything related ghibli animation visitor take look animation building original ghibli work animation material museum ’s souvenir shop themed restaurant popular,None Related,100,"animation, architectural, plan, popular, portion, related, restaurant, shop, showcasing, sketch"
Ueno-Koen,uneo park spacious public park tokyo ’s taito ward established uneo park draw influence western park popular time visitor free wander path open space estimated tree specie park small body water attract wide variety bird number museum within uneo park including tokyo national museum national museum nature science uneo park ’s famous attraction however spring cherry blossom festival flock admire natural beauty offer truly something behold,None Related,112,"admire, time, popular, public, science, small, something, space, spacious, specie"
Fushimi Inari Taisha,taisha oldest shrine kyoto come worship inari okami god harvest commercial success torii leading main shrine famous landscape shrine long endless pathway arranged foot mountain mountain representative landscape kyoto appeared movie “ memoir geisha ” fox regarded messenger inari okami foxfaced shaped emas major feature,None Related,93,"appeared, arranged, major, memoir, messenger, mountain, movie, okami, oldest, pathway"
Akihabara Electric Town,famous electronics shop akihabara area central tokyo ’s chiyoda ward tourist flock search bargain topshelf electronics manufacturer recently akihabara emerged center japan ’s vast anime manga culture visitor notice atmosphere catering taste store filled anime manga icon cosplayers line sidewalk distributing advertisement cafe product result mecca electronicsfascinated youth culture walking akihabara it ’s possible imagine oneself entered new digital reality,None Related,94,"advertisement, search, manufacturer, mecca, new, notice, oneself, possible, product, reality"
